200
 33 27 24 7 18 18 7 26 32 10
 13 13 46 1 13 21 28 43 29 4
 37 41 2 47 1 46 21 1 37 4
 14 22 44 35 43 11 43 39 48 33
 16 5 8 29 32 5 12 22 29 3
 40 42 6 2 4 27 43 0 46 32
 8 11 21 7 32 3 1 23 15 22
 19 3 21 26 32 17 46 5 11 9
 3 21 24 33 35 13 5 4 27 49
 30 6 0 36 23 40 47 49 25 30
 43 13 4 33 47 41 23 29 7 24
 17 29 11 14 44 29 46 23 27 21
 22 22 18 7 47 8 0 14 1 48
 8 15 5 28 24 38 39 41 43 3
 26 14 16 0 11 3 48 29 39 42
 19 14 37 5 22 26 49 37 26 15
 27 49 14 4 31 6 1 45 20 7
 39 14 18 10 19 27 27 11 39 25
 29 3 34 38 33 16 49 12 33 42
 39 2 10 27 48 19 18 31 2 39
 30

 30 27 48 4 29 16 42 42 46 11
 28 7 28 46 20 48 33 45 30 10
 30 47 40 16 2 16 24 39 17 23
 47 33 20 33 16 21 9 41 40 35
 14 3 11 31 12 35 20 11 24 28
 11 2 16 15 36 20 42 36 43 34
 24 1 44 35 37 40 28 22 40 22
 13 7 46 36 20 4 28 12 4 40
 45 34 28 37 18 30 8 15 47 42
 45 27 25 11 12 40 20 14 21 26
 1 14 46 4 14 37 11 8 31 33
 40 11 34 47 3 22 49 34 19 34
 46 11 15 19 10 28 11 40 30 20
 2 25 21 12 21 45 49 9 42 21
 19 5 41 14 15 1 11 4 34 33
 23 6 22 14 43 3 36 47 15 30
 40 37 35 40 7 31 29 2 35 31
 29 41 25 3 25 14 32 13 49 18
 0 23 20 12 25 15 15 37 45 35
 11 14 38 35 40 3 6 24 30 37
 40
